created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Oct 24 05:56:17 +0000 2023;1,72E+18;Dua pasangan capres-cawapres sebelumnya yakni, Anies Baswedan-Muhaimin Iskandar #BersamaPrabowo #MenataMasaDepan Prabowo Subianto;0;1;0;0;in;1,61E+18;1,72E+18;soffyajkt;https://twitter.com/soffyajkt/status/1716695085709173092
Tue Oct 24 05:55:45 +0000 2023;1,72E+18;Dua pasangan capres-cawapres sebelumnya yakni, Anies Baswedan-Muhaimin Iskandar #BersamaPrabowo #MenataMasaDepan Prabowo Subianto;0;1;0;0;in;1,61E+18;1,72E+18;soffyajkt;https://twitter.com/soffyajkt/status/1716694949683749269
Tue Oct 24 05:55:12 +0000 2023;1,72E+18;Dua pasangan capres-cawapres sebelumnya yakni, Anies Baswedan-Muhaimin Iskandar #BersamaPrabowo #MenataMasaDepan Prabowo Subianto;0;1;0;0;in;1,61E+18;1,72E+18;soffyajkt;https://twitter.com/soffyajkt/status/1716694813943431374
Tue Oct 24 05:54:24 +0000 2023;1,72E+18;Dua pasangan capres-cawapres sebelumnya yakni, Anies Baswedan-Muhaimin Iskandar #BersamaPrabowo #MenataMasaDepan Prabowo Subianto;0;1;0;0;in;1,61E+18;1,72E+18;soffyajkt;https://twitter.com/soffyajkt/status/1716694611429871916
Tue Oct 24 05:53:49 +0000 2023;1,72E+18;Dua pasangan capres-cawapres sebelumnya yakni, Anies Baswedan-Muhaimin Iskandar #BersamaPrabowo #MenataMasaDepan Prabowo Subianto;0;1;0;0;in;1,61E+18;1,72E+18;soffyajkt;https://twitter.com/soffyajkt/status/1716694465757466857
Tue Oct 24 05:53:18 +0000 2023;1,72E+18;Dua pasangan capres-cawapres sebelumnya yakni, Anies Baswedan-Muhaimin Iskandar #BersamaPrabowo #MenataMasaDepan Prabowo Subianto;0;1;0;0;in;1,61E+18;1,72E+18;soffyajkt;https://twitter.com/soffyajkt/status/1716694334698074414
Tue Oct 24 05:52:49 +0000 2023;1,72E+18;Dua pasangan capres-cawapres sebelumnya yakni, Anies Baswedan-Muhaimin Iskandar #BersamaPrabowo #MenataMasaDepan Prabowo Subianto;0;1;0;0;in;1,61E+18;1,72E+18;soffyajkt;https://twitter.com/soffyajkt/status/1716694211574284524
Tue Oct 24 05:52:14 +0000 2023;1,72E+18;Dua pasangan capres-cawapres sebelumnya yakni, Anies Baswedan-Muhaimin Iskandar #BersamaPrabowo #MenataMasaDepan Prabowo Subianto;0;1;0;0;in;1,61E+18;1,72E+18;soffyajkt;https://twitter.com/soffyajkt/status/1716694064987578481
Tue Oct 24 05:51:16 +0000 2023;1,72E+18;Dua pasangan capres-cawapres sebelumnya yakni, Anies Baswedan-Muhaimin Iskandar dan Ganjar Pranowo-Mahfud MD sudah lebih dulu mendaftar ke Komisi Pemilihan Umum. #BersamaPrabowo #MenataMasaDepan Prabowo Subianto;0;1;0;0;in;1,62E+18;1,72E+18;frmnsyh55775493;https://twitter.com/frmnsyh55775493/status/1716693822254829997
Tue Oct 24 05:50:49 +0000 2023;1,72E+18;Dua pasangan capres-cawapres sebelumnya yakni, Anies Baswedan-Muhaimin Iskandar #BersamaPrabowo #MenataMasaDepan Prabowo Subianto;0;1;0;0;in;1,61E+18;1,72E+18;soffyajkt;https://twitter.com/soffyajkt/status/1716693708631052767
